level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
239,637,1990,37464150,12800,170000,16500,0,0,0,0,9000,0,0,0,12355,0,1271000,3195,38955805,38959000,0.9616,0.0003,0.0044,0.0004,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0326,0.0001,0.9999,Spain,Europe,Southern Europe
240,638,1995,37249500,29583,300000,13838,0,0,0,0,10385,0,0,0,15193,0,1590737,764,39209236,39210000,0.95,0.0008,0.0077,0.0004,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0004,0.0,0.0406,0.0,1.0,Spain,Europe,Southern Europe
241,639,2000,34100000,52000,450000,12000,0,0,0,0,0,0,0,0,0,0,4953750,62250,39567750,39630000,0.8605,0.0013,0.0114,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0016,0.9984,Spain,Europe,Southern Europe
242,640,2005,36380000,35000,1100000,9000,0,0,0,0,0,0,0,0,0,0,5858730,15270,43382730,43398000,0.8383,0.0008,0.0253,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0004,0.9996,Spain,Europe,Southern Europe
243,641,2010,37121529,12000,1400000,10200,0,0,0,0,0,0,0,0,0,0,7372239,160528,45915968,46076496,0.8056,0.0003,0.0304,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0035,0.9965,Spain,Europe,Southern Europe
244,642,1995,62680,257,448,0,0,207,0,0,100,0,0,0,0,0,4298,10,67990,68000,0.9218,0.0038,0.0066,0.0,0.0,0.003,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0632,0.0001,0.9999,Andorra,Europe,Southern Europe
245,643,2000,72946,0,500,0,0,0,0,0,0,0,0,0,0,0,4488,66,77934,78000,0.9352,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,0.0008,0.9992,Andorra,Europe,Southern Europe
246,644,2005,74445,0,400,0,0,0,0,0,0,0,0,0,0,0,4100,55,78945,79000,0.9423,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519,0.0007,0.9993,Andorra,Europe,Southern Europe
247,645,2010,77546,0,769,0,0,300,0,0,0,0,0,0,0,0,6807,78,85422,85500,0.907,0.0,0.009,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796,0.0009,0.9991,Andorra,Europe,Southern Europe
248,655,1990,9344537,500,20000,50000,0,0,0,0,1800,0,0,0,18000,1500,395880,66783,9832217,9899000,0.944,0.0001,0.002,0.0051,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0018,0.0002,0.04,0.0067,0.9933,Portugal,Europe,Southern Europe
249,656,1995,9263964,467,28910,52650,0,0,0,0,1818,0,0,0,19220,1540,529871,17560,9898440,9916000,0.9342,0.0,0.0029,0.0053,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0019,0.0002,0.0534,0.0018,0.9982,Portugal,Europe,Southern Europe
250,657,2000,8437963,1773,35000,55300,0,7000,395,0,1800,0,0,0,21500,0,342987,971282,8903718,9875000,0.8545,0.0002,0.0035,0.0056,0.0,0.0007,0.0,0.0,0.0002,0.0,0.0,0.0,0.0022,0.0,0.0347,0.0984,0.9016,Portugal,Europe,Southern Europe
251,658,2005,8780641,2482,62993,57449,0,6693,410,0,1890,0,0,0,10750,0,539444,1086248,9462752,10549000,0.8324,0.0002,0.006,0.0054,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0,0.001,0.0,0.0511,0.103,0.897,Portugal,Europe,Southern Europe
252,659,2010,9123319,3192,90987,59598,0,6386,426,0,1980,0,0,0,0,0,735901,620716,10021789,10642505,0.8573,0.0003,0.0085,0.0056,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0691,0.0583,0.9417,Portugal,Europe,Southern Europe
253,662,1990,62557600,47000,2850000,75000,0,45000,3000,0,12000,0,0,1900,5000,3000,13360000,442500,78959500,79402000,0.7879,0.0006,0.0359,0.0009,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.1683,0.0056,0.9944,Germany,Europe,Western Europe
254,663,1990,62557600,47000,2850000,75000,0,45000,3000,0,12000,0,0,1900,5000,3000,13360000,442500,78959500,79402000,0.7879,0.0006,0.0359,0.0009,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.1683,0.0056,0.9944,Germany,Europe,Western Europe
255,664,1995,60917960,135319,3258506,79843,0,68954,13833,0,12166,0,0,1965,5114,3309,15365036,1798995,79862005,81661000,0.746,0.0017,0.0399,0.001,0.0,0.0008,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.1882,0.022,0.978,Germany,Europe,Western Europe
256,665,1995,60917960,135319,3258506,79843,0,68954,13833,0,12166,0,0,1965,5114,3309,15365036,1798995,79862005,81661000,0.746,0.0017,0.0399,0.001,0.0,0.0008,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.1882,0.022,0.978,Germany,Europe,Western Europe
257,666,2000,56327135,187500,3000000,80000,0,62500,62500,0,10000,0,0,0,0,0,21800000,690365,81529635,82220000,0.6851,0.0023,0.0365,0.001,0.0,0.0008,0.0008,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2651,0.0084,0.9916,Germany,Europe,Western Europe
258,667,2000,56327135,187500,3000000,80000,0,62500,62500,0,10000,0,0,0,0,0,21800000,690365,81529635,82220000,0.6851,0.0023,0.0365,0.001,0.0,0.0008,0.0008,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2651,0.0084,0.9916,Germany,Europe,Western Europe
259,668,2005,54399203,189000,3500000,82000,0,70000,22000,0,10000,0,0,0,0,0,19054252,5137545,77326455,82464000,0.6597,0.0023,0.0424,0.001,0.0,0.0008,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2311,0.0623,0.9377,Germany,Europe,Western Europe
260,669,2005,54399203,189000,3500000,82000,0,70000,22000,0,10000,0,0,0,0,0,19054252,5137545,77326455,82464000,0.6597,0.0023,0.0424,0.001,0.0,0.0008,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2311,0.0623,0.9377,Germany,Europe,Western Europe
261,670,2010,57827992,119000,4000000,245000,0,97500,25000,0,10000,0,0,0,0,0,18790764,583720,81115256,81698976,0.7078,0.0015,0.049,0.003,0.0,0.0012,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.23,0.0071,0.9929,Germany,Europe,Western Europe
262,671,2010,57827992,119000,4000000,245000,0,97500,25000,0,10000,0,0,0,0,0,18790764,583720,81115256,81698976,0.7078,0.0015,0.049,0.003,0.0,0.0012,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.23,0.0071,0.9929,Germany,Europe,Western Europe
263,679,1990,57550000,15580,1490000,0,0,0,0,0,0,0,0,0,0,0,3795180,402240,62850760,63253000,0.9098,0.0002,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0064,0.9936,Germany,Europe,Western Europe
264,705,1990,37050000,4940,4500,900,0,0,0,0,450,0,0,0,0,0,1040850,17360,38101640,38119000,0.972,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273,0.0005,0.9995,Poland,Europe,Eastern Europe
265,706,1990,37050000,4940,4500,900,0,0,0,0,450,0,0,0,0,0,1040850,17360,38101640,38119000,0.972,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273,0.0005,0.9995,Poland,Europe,Eastern Europe
266,707,1995,37293803,1410,5303,1458,0,0,0,0,612,0,0,0,0,0,1252114,33300,38554700,38588000,0.9665,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.0009,0.9991,Poland,Europe,Eastern Europe
267,708,1995,37293803,1410,5303,1458,0,0,0,0,612,0,0,0,0,0,1252114,33300,38554700,38588000,0.9665,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.0009,0.9991,Poland,Europe,Eastern Europe
268,709,2000,36631210,1400,2500,0,0,0,0,0,0,0,0,0,0,0,1938250,191640,38573360,38765000,0.945,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0049,0.9951,Poland,Europe,Eastern Europe
269,710,2000,36631210,1400,2500,0,0,0,0,0,0,0,0,0,0,0,1938250,191640,38573360,38765000,0.945,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0049,0.9951,Poland,Europe,Eastern Europe
270,711,2005,35958000,1400,2700,1984,0,0,0,0,0,0,0,0,0,0,2098855,98061,38062939,38161000,0.9423,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0026,0.9974,Poland,Europe,Eastern Europe
271,712,2005,35958000,1400,2700,1984,0,0,0,0,0,0,0,0,0,0,2098855,98061,38062939,38161000,0.9423,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0026,0.9974,Poland,Europe,Eastern Europe
272,713,2010,34539629,1600,5100,1500,0,0,0,0,0,0,0,0,0,0,3054633,580458,37602462,38182920,0.9046,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0152,0.9848,Poland,Europe,Eastern Europe
273,714,2010,34539629,1600,5100,1500,0,0,0,0,0,0,0,0,0,0,3054633,580458,37602462,38182920,0.9046,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0152,0.9848,Poland,Europe,Eastern Europe
274,729,1990,6433500,7205,157415,0,0,0,0,0,0,0,0,0,0,0,666491,464389,7264611,7729000,0.8324,0.0009,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0601,0.9399,Austria,Europe,Western Europe
275,730,1990,6433500,7205,157415,0,0,0,0,0,0,0,0,0,0,0,666491,464389,7264611,7729000,0.8324,0.0009,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0601,0.9399,Austria,Europe,Western Europe
276,731,1995,6996880,8687,242116,5717,0,4198,675,0,2206,0,0,752,1787,0,700000,83982,7963018,8047000,0.8695,0.0011,0.0301,0.0007,0.0,0.0005,0.0001,0.0,0.0003,0.0,0.0,0.0001,0.0002,0.0,0.087,0.0104,0.9896,Austria,Europe,Western Europe
277,732,1995,6996880,8687,242116,5717,0,4198,675,0,2206,0,0,752,1787,0,700000,83982,7963018,8047000,0.8695,0.0011,0.0301,0.0007,0.0,0.0005,0.0001,0.0,0.0003,0.0,0.0,0.0001,0.0002,0.0,0.087,0.0104,0.9896,Austria,Europe,Western Europe
278,733,2000,6445987,8320,346502,0,0,0,0,0,0,0,0,0,0,0,984616,425575,7785425,8211000,0.785,0.001,0.0422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199,0.0518,0.9482,Austria,Europe,Western Europe
279,734,2000,6445987,8320,346502,0,0,0,0,0,0,0,0,0,0,0,984616,425575,7785425,8211000,0.785,0.001,0.0422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199,0.0518,0.9482,Austria,Europe,Western Europe
280,735,2005,6285258,8309,372536,0,0,0,0,0,0,0,0,0,0,0,1139199,427698,7805302,8233000,0.7634,0.001,0.0452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384,0.0519,0.9481,Austria,Europe,Western Europe
281,736,2005,6285258,8309,372536,0,0,0,0,0,0,0,0,0,0,0,1139199,427698,7805302,8233000,0.7634,0.001,0.0452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384,0.0519,0.9481,Austria,Europe,Western Europe
282,737,2010,6124531,8298,398571,0,0,0,0,0,0,0,0,0,0,0,1293783,564588,7825183,8389771,0.73,0.001,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.9327,Austria,Europe,Western Europe
283,738,2010,6124531,8298,398571,0,0,0,0,0,0,0,0,0,0,0,1293783,564588,7825183,8389771,0.73,0.001,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.9327,Austria,Europe,Western Europe
284,748,1990,8053776,100000,16458,1000,0,0,0,0,150,0,0,0,0,0,2093666,99950,10265050,10365000,0.777,0.0096,0.0016,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0096,0.9904,Hungary,Europe,Eastern Europe
285,749,1995,7811791,56435,20072,2206,0,0,0,0,221,0,0,0,0,0,2251153,87122,10141878,10229000,0.7637,0.0055,0.002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201,0.0085,0.9915,Hungary,Europe,Eastern Europe
286,750,2000,7462967,12666,3150,5139,0,0,0,0,0,0,0,0,0,0,2059759,492319,9543681,10036000,0.7436,0.0013,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2052,0.0491,0.9509,Hungary,Europe,Eastern Europe
287,751,2005,7066031,11815,3825,2569,0,0,0,0,0,0,0,0,0,0,2374282,628478,9458522,10087000,0.7005,0.0012,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354,0.0623,0.9377,Hungary,Europe,Eastern Europe
288,752,2010,6669095,10965,4500,0,0,0,0,0,0,0,0,0,0,0,2688805,526635,9373365,9900000,0.6736,0.0011,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716,0.0532,0.9468,Hungary,Europe,Eastern Europe
289,771,1990,11078173,0,0,0,0,0,0,0,0,0,0,0,0,0,4541690,41137,15619863,15661000,0.7074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0026,0.9974,Slovakia,Europe,Eastern Europe
290,772,1990,11078173,0,0,0,0,0,0,0,0,0,0,0,0,0,4541690,41137,15619863,15661000,0.7074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0026,0.9974,Slovakia,Europe,Eastern Europe
291,773,1995,3076314,7210,1050,10746,0,0,0,0,881,0,0,0,3290,0,6818460,413049,9917951,10331000,0.2978,0.0007,0.0001,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0,0.66,0.04,0.96,Czechia,Europe,Eastern Europe
292,774,2000,3098330,3900,3699,6826,0,1062,0,0,0,0,0,0,0,0,6048221,1081962,9162038,10244000,0.3025,0.0004,0.0004,0.0007,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904,0.1056,0.8944,Czechia,Europe,Eastern Europe
293,775,2005,2675520,5611,2518,3413,0,531,0,0,0,0,0,0,0,0,7014110,532297,9701703,10234000,0.2614,0.0005,0.0002,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854,0.052,0.948,Czechia,Europe,Eastern Europe
294,776,2010,2252712,7322,1338,0,0,0,0,0,0,0,0,0,0,0,7980000,293739,10241372,10535111,0.2138,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7575,0.0279,0.9721,Czechia,Europe,Eastern Europe
295,777,1995,3899119,927,0,0,0,0,0,0,0,0,0,0,0,0,524315,939639,4424361,5364000,0.7269,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977,0.1752,0.8248,Slovakia,Europe,Eastern Europe
296,778,2000,4519352,2424,517,0,0,0,0,0,0,0,0,0,0,0,698286,166421,5220579,5387000,0.8389,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296,0.0309,0.9691,Slovakia,Europe,Eastern Europe
297,779,2005,4307433,2377,514,0,0,0,0,0,1072,0,0,0,0,0,713828,361776,5025224,5387000,0.7996,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.1325,0.0672,0.9328,Slovakia,Europe,Eastern Europe
298,780,2010,4101842,2445,521,0,0,0,0,0,1072,0,0,0,0,0,730349,597914,4836229,5434143,0.7548,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.1344,0.11,0.89,Slovakia,Europe,Eastern Europe
299,790,1990,48669553,38359,600000,4100,0,0,0,0,5000,0,0,0,41000,1800,8282664,18524,57642476,57661000,0.8441,0.0007,0.0104,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0007,0.0,0.1436,0.0003,0.9997,Italy,Europe,Southern Europe
300,791,1995,47718067,38088,640000,6233,0,0,0,0,4941,0,0,0,42416,1902,8802329,47024,57253976,57301000,0.8328,0.0007,0.0112,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0007,0.0,0.1536,0.0008,0.9992,Italy,Europe,Southern Europe
301,792,2000,48955835,30200,950063,60338,0,0,0,0,0,0,0,0,0,0,7200000,101564,57196436,57298000,0.8544,0.0005,0.0166,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1257,0.0018,0.9982,Italy,Europe,Southern Europe
302,793,2005,50346000,30000,1000000,60000,0,75000,0,0,0,0,0,0,0,0,6500000,596000,58011000,58607000,0.859,0.0005,0.0171,0.001,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1109,0.0102,0.9898,Italy,Europe,Southern Europe
303,794,2010,48018881,39000,700000,8831,0,7923,24193,0,5123,0,0,0,46270,2117,11300000,330886,60152338,60483224,0.7939,0.0006,0.0116,0.0001,0.0,0.0001,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0008,0.0,0.1868,0.0055,0.9945,Italy,Europe,Southern Europe
304,795,1995,22799,0,5,0,0,0,0,0,197,0,0,0,0,0,1750,249,24751,25000,0.912,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.99,San Marino,Europe,Southern Europe
305,796,2000,25650,0,5,0,0,0,0,0,245,0,0,0,0,0,1000,100,26900,27000,0.95,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.037,0.0037,0.9963,San Marino,Europe,Southern Europe
306,797,2005,29450,0,6,0,0,0,0,0,281,0,0,0,0,0,1200,63,30937,31000,0.95,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0387,0.002,0.998,San Marino,Europe,Southern Europe
307,798,2010,28088,0,6,0,0,0,0,0,296,0,0,0,0,0,3450,704,31840,32544,0.8631,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.106,0.0216,0.9784,San Marino,Europe,Southern Europe
308,804,1990,350140,50,1250,0,0,40,0,0,220,0,0,0,0,0,2000,300,353700,354000,0.9891,0.0001,0.0035,0.0,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0056,0.0008,0.9992,Malta,Europe,Southern Europe
309,805,1995,365041,53,1093,0,0,40,0,0,238,0,0,0,0,0,3906,629,370371,371000,0.9839,0.0001,0.0029,0.0,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0105,0.0017,0.9983,Malta,Europe,Southern Europe
310,806,2000,371280,97,728,9,0,0,0,0,29,0,0,0,0,0,7780,9077,379923,389000,0.9544,0.0002,0.0019,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.02,0.0233,0.9767,Malta,Europe,Southern Europe
311,807,2005,387285,58,2838,810,0,42,0,0,261,0,0,0,0,0,6500,6206,397794,404000,0.9586,0.0001,0.007,0.002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0161,0.0154,0.9846,Malta,Europe,Southern Europe
312,808,2010,401633,60,4122,0,0,0,0,0,220,0,0,0,0,0,6200,676,412235,412911,0.9727,0.0001,0.01,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.015,0.0016,0.9984,Malta,Europe,Southern Europe
313,827,1990,976398,305,1367520,0,0,0,0,0,4456,0,0,0,0,0,892800,14521,3241479,3256000,0.2999,0.0001,0.42,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.2742,0.0045,0.9955,Albania,Europe,Southern Europe
314,828,1990,976398,305,1367520,0,0,0,0,0,4456,0,0,0,0,0,892800,14521,3241479,3256000,0.2999,0.0001,0.42,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.2742,0.0045,0.9955,Albania,Europe,Southern Europe
315,829,1995,1049187,302,1948860,0,0,0,0,0,5683,0,0,0,0,0,604338,630,3608370,3609000,0.2907,0.0001,0.54,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.1675,0.0002,0.9998,Albania,Europe,Southern Europe
316,830,1995,1049187,302,1948860,0,0,0,0,0,5683,0,0,0,0,0,604338,630,3608370,3609000,0.2907,0.0001,0.54,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.1675,0.0002,0.9998,Albania,Europe,Southern Europe
317,831,2000,715990,300,2051467,0,0,0,0,0,5000,0,0,0,0,0,340000,243,3112757,3113000,0.23,0.0001,0.659,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.1092,0.0001,0.9999,Albania,Europe,Southern Europe
318,832,2000,715990,300,2051467,0,0,0,0,0,5000,0,0,0,0,0,340000,243,3112757,3113000,0.23,0.0001,0.659,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.1092,0.0001,0.9999,Albania,Europe,Southern Europe
319,833,2005,837479,299,1931812,0,0,0,0,0,6912,0,0,0,0,0,345200,20298,3121702,3142000,0.2665,0.0001,0.6148,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.1099,0.0065,0.9935,Albania,Europe,Southern Europe
320,834,2005,837479,299,1931812,0,0,0,0,0,6912,0,0,0,0,0,345200,20298,3121702,3142000,0.2665,0.0001,0.6148,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.1099,0.0065,0.9935,Albania,Europe,Southern Europe
321,835,2010,685221,0,2013180,0,0,0,0,0,7000,0,0,0,0,0,481586,8538,3186987,3195525,0.2144,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.1507,0.0027,0.9973,Albania,Europe,Southern Europe
322,836,2010,685221,0,2013180,0,0,0,0,0,7000,0,0,0,0,0,481586,8538,3186987,3195525,0.2144,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.1507,0.0027,0.9973,Albania,Europe,Southern Europe
323,837,2010,478002,0,120289,119,0,0,0,0,0,0,0,0,0,0,28400,2707,626810,629517,0.7593,0.0,0.1911,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451,0.0043,0.9957,Montenegro,Europe,Southern Europe
324,838,1995,1216107,956,658375,0,0,0,0,0,0,0,0,0,0,0,87389,173,1962827,1963000,0.6195,0.0005,0.3354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.0001,0.9999,The former Yugoslav Republic of Macedonia,Europe,Southern Europe
325,839,2000,1318658,0,674499,0,0,0,0,0,0,0,0,0,0,0,30000,843,2023157,2024000,0.6515,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0004,0.9996,The former Yugoslav Republic of Macedonia,Europe,Southern Europe
326,840,2005,1314733,0,688931,0,0,0,0,0,0,0,0,0,0,0,34537,299,2038201,2038500,0.645,0.0,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0001,0.9999,The former Yugoslav Republic of Macedonia,Europe,Southern Europe
327,841,2010,1310808,0,703363,0,0,0,0,0,0,0,0,0,0,0,39075,3371,2053246,2056617,0.6374,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0016,0.9984,The former Yugoslav Republic of Macedonia,Europe,Southern Europe
328,842,1995,4188925,810,85130,0,0,0,0,0,0,0,0,0,0,0,341728,52407,4616593,4669000,0.8972,0.0002,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,0.0112,0.9888,Croatia,Europe,Southern Europe
329,843,2000,4154923,498,57231,0,0,0,0,0,0,0,0,0,0,0,200800,59548,4413452,4473000,0.9289,0.0001,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.0133,0.9867,Croatia,Europe,Southern Europe
330,844,2005,4098533,526,61127,0,0,0,0,0,0,0,0,0,0,0,225400,56414,4385586,4442000,0.9227,0.0001,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0127,0.9873,Croatia,Europe,Southern Europe
331,845,2010,4042145,553,65023,0,0,0,0,0,0,0,0,0,0,0,250000,66440,4357721,4424161,0.9137,0.0001,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565,0.015,0.985,Croatia,Europe,Southern Europe
332,874,1995,2286840,423,1810051,0,0,0,0,0,0,0,0,0,0,0,222174,164512,4319488,4484000,0.51,0.0001,0.4037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,0.0367,0.9633,Bosnia and Herzegovina,Europe,Southern Europe
