index,Year,Christianity - Protestants (Population),Christianity - Roman Catholics (Population),Christianity - Eastern Orthodox (Population),Christianity - Anglican (Population),Christianity - Others (Population),Christianity - Total (Population),Judaism - Orthodox (Population),Judaism - Conservatives (Population),Judaism - Reform (Population),Judaism - Others (Population),Judaism - Total (Population),Islam - Sunni (Population),Islam - Shi'a (Population),Islam - Ibadhi (Population),Islam - Nation of Islam (Population),Islam - Alawite (Population),Islam - Ahmadiyya (Population),Islam - Others (Population),Islam - Total (Population),Buddhism - Mahayana (Population),Buddhism - Theravada (Population),Buddhism - Others (Population),Buddhism - Total (Population),Zoroastrian - Total (Population),Hindu - Total (Population),Sike - Total (Population),Shinto - Total (Population),Baha'i - Total (Population),Taoism - Total (Population),Confucianism - Total (Population),Jain - Total (Population),Syncretic Religions - Total (Population),Animist - Total (Population),Non Religious - Total (Population),Other Religions - Total (Population),Total Religious - Total (Population),Population - Total (Population),Christianity - Protestants (Percent),Christianity - Roman Catholics (Percent),Christianity - Eastern Orthodox (Percent),Christianity - Anglican (Percent),Christianity - Others (Percent),Christianity - Total (Percent),Judaism - Orthodox (Percent),Judaism - Conservatives (Percent),Judaism - Reform (Percent),Judaism - Others (Percent),Judaism - Total (Percent),Islam - Sunni (Percent),Islam - Shi'a (Percent),Islam - Ibadhi (Percent),Islam - Nation of Islam (Percent),Islam - Alawite (Percent),Islam - Ahmadiyya (Percent),Islam - Others (Percent),Islam - Total (Percent),Buddhism - Mahayana (Percent),Buddhism - Theravada (Percent),Buddhism - Others (Percent),Buddhism - Total (Percent),Zoroastrian - Total (Percent),Hindu - Total (Percent),Sike - Total (Percent),Shinto - Total (Percent),Baha'i - Total (Percent),Taoism - Total (Percent),Confucianism - Total (Percent),Jain - Total (Percent),Syncretic Religions - Total (Percent),Animist - Total (Percent),Non Religious - Total (Percent),Other Religions - Total (Percent),Total Religious - Total (Percent),StateNme
0,1945,66069671,38716742,1121898,2400000,1956807,110265118,821489,1364508,1902885.0,552300,4641182,0,0,0,0,0,0,0.0,0,0,0,1601218,1601218,0,0,0,0,0,0,0,0,0,0,22874544,545938,139382062,139928000,0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635,0.0039,0.9961,United States of America
1,1950,73090083,42635882,3045420,3045420,1177214,122994019,1078078,1790706,2497244.0,724809,6090837,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22568130,618022,151652986,152271008,0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1482,0.0041,0.9959,United States of America
2,1955,79294628,46402368,3454916,2572767,2277091,134001770,944000,1568000,2186666.0,634666,5333332,0,0,0,0,0,0,0.0,0,0,0,90173,90173,0,0,0,0,0,0,0,0,0,0,23303540,3202185,162728815,165931000,0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404,0.0193,0.9807,United States of America
3,1960,90692928,50587880,3334535,2710065,2908939,150234347,973500,1617000,2255000.0,654500,5500000,0,0,0,0,0,0,0.0,0,0,0,2012131,2012131,0,0,0,0,0,0,0,0,0,0,21548225,1376297,179294703,180671000,0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193,0.0076,0.9924,United States of America
4,1965,94165803,64761783,4792868,2822149,973155,167515758,991200,1646400,2296000.0,666400,5600000,0,0,0,0,0,0,0.0,0,0,0,1080892,1080892,0,0,0,0,0,0,0,0,0,0,19852362,581988,194049012,194631000,0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.003,0.997,United States of America
5,1970,93918347,69119143,5498914,3030647,1300000,172867051,1088550,1808100,2521500.0,731850,6150000,0,0,0,0,0,0,0.0,0,0,0,1113861,1113861,0,0,0,0,90247,0,0,0,0,0,20474592,10249,200695751,200706000,0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0055,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.102,0.0001,0.9999,United States of America
6,1975,93578909,77181399,6651649,3239145,2159430,182810532,1185900,1969800,2747000.0,797300,6700000,0,0,0,0,0,0,0.0,0,0,0,1019556,1019556,0,159778,1597,0,220494,0,0,0,0,0,24789671,241372,215701628,215943000,0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0007,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.1148,0.0011,0.9989,United States of America
7,1980,101216516,75149580,4677202,3576566,2030000,186649864,1284843,2134146,2976190.0,863821,7259000,2407464,254121,0,0,0,4975,0.0,2666560,0,0,1357967,1357967,0,995149,0,0,0,89563,0,0,0,59708,26813635,1834554,225891446,227726000,0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0.0,0,0.0,0.0,0.0,0.0117,0.0,0.0,0.006,0.006,0.0,0.0044,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0003,0.1177,0.0081,0.9919,United States of America
8,1985,107309700,82463100,5245662,3576990,1192330,199787782,1352280,2146160,3132400.0,879160,7510000,2186675,298183,0,0,0,0,0.0,2484858,0,0,1984325,1984325,0,1005000,0,0,0,0,0,0,0,0,25396899,297136,238168864,238466000,0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0.0,0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0083,0.0083,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065,0.0012,0.9988,United States of America
9,1990,132040181,65530789,6715078,4334627,5804487,214425162,975005,1619500,2258487.0,655512,5508504,2019386,275371,0,0,0,0,0.0,2294757,0,0,1575481,1575481,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,249744836,249907000,0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0.0,0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0063,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0.0,0.0,0.0,0.0003,0.0977,0.0006,0.9994,United States of America
10,1995,123669458,70308695,6639161,4476661,10500000,215593975,930925,1546282,2156380.0,625876,5259463,2134332,291045,0,0,0,0,0.0,2425377,0,0,1608346,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000,0.4707,0.2676,0.0253,0.017,0.04,0.8205,0.0035,0.0059,0.0082,0.0024,0.02,0.0081,0.0011,0.0,0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0061,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0.0,0.0001,0.001,0.0008,0.1312,0.0026,0.9974,United States of America
11,2000,115298736,75086601,6563244,4618694,18251030,219818305,886845,1473065,2054274.0,596240,5010424,2249277,306720,0,0,0,0,0.0,2555997,808358,0,1641211,2449569,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,278248108,278357000,0.4142,0.2697,0.0236,0.0166,0.0656,0.7897,0.0032,0.0053,0.0074,0.0021,0.018,0.0081,0.0011,0.0,0,0.0,0.0,0.0,0.0092,0.0029,0.0,0.0059,0.0088,0.0053,0.003,0.0003,0.0002,0.0016,0.0,0.0,0.0003,0.0019,0.0013,0.16,0.0004,0.9996,United States of America
12,2005,117527349,76742245,6800059,4733159,20661993,226464805,979982,1627767,2270015.0,658858,5536622,2363129,322245,0,0,0,0,0.0,2685374,858297,0,2824397,3682694,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,295720819,295896000,0.3972,0.2594,0.023,0.016,0.0698,0.7654,0.0033,0.0055,0.0077,0.0022,0.0187,0.008,0.0011,0.0,0,0.0,0.0,0.0,0.0091,0.0029,0.0,0.0095,0.0124,0.0053,0.0044,0.0009,0.0002,0.0015,0.0,0.0003,0.0003,0.0023,0.0036,0.175,0.0006,0.9994,United States of America
13,2010,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322.0,707127,5942248,2476980,337770,0,0,0,0,0.0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0.3829,0.2507,0.0225,0.0155,0.0738,0.7454,0.0034,0.0056,0.0078,0.0023,0.019,0.0079,0.0011,0.0,0,0.0,0.0,0.0,0.009,0.0029,0.0,0.008,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.9975,United States of America
14,1945,4002534,5038280,241370,1137777,112000,10531961,35338,61842,26503.0,53007,176690,0,0,0,0,0,0,0.0,0,0,0,115066,115066,0,0,5000,0,0,0,0,0,11000,0,0,666938,10839717,11506655,0.3478,0.4379,0.021,0.0989,0.0097,0.9153,0.0031,0.0054,0.0023,0.0046,0.0154,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.058,0.942,Canada
15,1950,4098000,6181650,200560,1300614,444655,12225479,35991,62984,26993.0,53986,179954,0,0,0,0,0,0,2006.0,2006,0,0,112006,112006,0,2006,10001,0,1000,0,0,0,14973,50003,128304,1011268,12725732,13737000,0.2983,0.45,0.0146,0.0947,0.0324,0.89,0.0026,0.0046,0.002,0.0039,0.0131,0.0,0.0,0.0,0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0082,0.0082,0.0,0.0001,0.0007,0.0,0.0001,0.0,0.0,0.0,0.0011,0.0036,0.0093,0.0736,0.9264,Canada
16,1955,4248720,7338356,314989,1720140,347327,13969532,43432,76006,32574.0,65148,217160,0,0,0,0,0,0,1003.0,1003,0,0,446608,446608,0,1003,5000,0,500,0,0,171199,7486,25001,64152,827356,14908644,15736000,0.27,0.4663,0.02,0.1093,0.0221,0.8877,0.0028,0.0048,0.0021,0.0041,0.0138,0.0,0.0,0.0,0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0284,0.0284,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0109,0.0005,0.0016,0.0041,0.0526,0.9474,Canada
17,1960,4635491,8495062,350000,2439666,250000,16170219,50873,89028,38155.0,76310,254366,0,0,0,0,0,0,0.0,0,0,0,781211,781211,0,0,0,0,0,0,0,342398,0,0,0,360806,17548194,17909000,0.2588,0.4743,0.0195,0.1362,0.014,0.9029,0.0028,0.005,0.0021,0.0043,0.0142,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191,0.0,0.0,0.0,0.0201,0.9799,Canada
18,1965,5138863,9051880,429419,2400068,296329,17316559,57330,100327,42997.0,85995,286649,0,0,0,0,0,0,0.0,0,0,0,790000,790000,0,0,0,0,0,0,0,376219,0,0,500000,408573,19269427,19678000,0.2611,0.46,0.0218,0.122,0.0151,0.88,0.0029,0.0051,0.0022,0.0044,0.0146,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401,0.0401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191,0.0,0.0,0.0254,0.0208,0.9792,Canada
19,1970,5750190,10009590,638910,1064850,425940,17889480,57502,100628,43126.0,86253,287509,0,0,0,0,0,0,41103.0,41103,0,0,15696,15696,0,19615,19615,0,23640,0,980,407172,29390,11777,713821,1837202,19459798,21297000,0.27,0.47,0.03,0.05,0.02,0.84,0.0027,0.0047,0.002,0.0041,0.0135,0.0,0.0,0.0,0,0.0,0.0,0.0019,0.0019,0.0,0.0,0.0007,0.0007,0.0,0.0009,0.0009,0.0,0.0011,0.0,0.0,0.0191,0.0014,0.0006,0.0335,0.0863,0.9137,Canada
20,1975,6124060,11633595,347936,1760568,231580,20097739,60739,106293,45554.0,91109,303695,0,0,0,0,0,0,43385.0,43385,0,0,16527,16527,0,20659,7230,0,0,30989,0,0,0,12395,2444940,164441,22977559,23142000,0.2646,0.5027,0.015,0.0761,0.01,0.8685,0.0026,0.0046,0.002,0.0039,0.0131,0.0,0.0,0.0,0,0.0,0.0,0.0019,0.0019,0.0,0.0,0.0007,0.0007,0.0,0.0009,0.0003,0.0,0.0,0.0013,0.0,0.0,0.0,0.0005,0.1056,0.0071,0.9929,Canada
21,1980,6792962,11670690,327798,2564522,198410,21554382,61719,108008,46289.0,92578,308594,158057,17562,0,0,0,0,0.0,175619,0,0,20847,20847,0,50986,9064,0,0,29458,0,0,0,150692,1959478,256880,24259120,24516000,0.2771,0.476,0.0134,0.1046,0.0081,0.8792,0.0025,0.0044,0.0019,0.0038,0.0126,0.0064,0.0007,0.0,0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0009,0.0009,0.0,0.0021,0.0004,0.0,0.0,0.0012,0.0,0.0,0.0,0.0061,0.0799,0.0105,0.9895,Canada
22,1985,7450000,12636160,400000,2600000,210000,23296160,62714,109750,47036.0,94072,313572,191529,21281,0,0,0,0,0.0,212810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011269,9190,25833811,25843000,0.2883,0.489,0.0155,0.1006,0.0081,0.9014,0.0024,0.0042,0.0018,0.0036,0.0121,0.0074,0.0008,0.0,0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778,0.0004,0.9996,Canada
23,1990,7936000,12720000,510000,2880000,300000,24346000,70000,122500,52500.0,105000,350000,225000,25000,0,0,0,0,0.0,250000,0,0,500000,500000,10200,155000,240000,0,0,280000,0,0,0,9000,1545500,15300,27685700,27701000,0.2865,0.4592,0.0184,0.104,0.0108,0.8789,0.0025,0.0044,0.0019,0.0038,0.0126,0.0081,0.0009,0.0,0,0.0,0.0,0.0,0.009,0.0,0.0,0.018,0.018,0.0004,0.0056,0.0087,0.0,0.0,0.0101,0.0,0.0,0.0,0.0003,0.0558,0.0006,0.9994,Canada
24,1995,8001536,13399222,550896,2701453,305735,24958842,72376,126658,54282.0,108564,361880,112500,12500,0,0,0,0,0.0,125000,0,0,250000,250000,7577,170941,197867,272,9010,141722,0,1230,0,36487,2772795,320377,29033623,29354000,0.2726,0.4565,0.0188,0.092,0.0104,0.8503,0.0025,0.0043,0.0018,0.0037,0.0123,0.0038,0.0004,0.0,0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0085,0.0085,0.0003,0.0058,0.0067,0.0,0.0003,0.0048,0.0,0.0,0.0,0.0012,0.0945,0.0109,0.9891,Canada
25,2000,8067073,14078444,591793,2522907,311470,25571687,74752,130817,56064.0,112129,373762,252291,28032,0,0,0,0,0.0,280323,0,0,360000,360000,4955,186882,155735,545,18020,3445,0,2460,0,63975,4000090,125121,31021879,31147000,0.259,0.452,0.019,0.081,0.01,0.821,0.0024,0.0042,0.0018,0.0036,0.012,0.0081,0.0009,0.0,0,0.0,0.0,0.0,0.009,0.0,0.0,0.0116,0.0116,0.0002,0.006,0.005,0.0,0.0006,0.0001,0.0,0.0001,0.0,0.0021,0.1284,0.004,0.996,Canada
26,2005,8996090,13649240,589399,2512701,310210,26057640,68246,119430,51184.0,102369,341229,581400,64600,0,0,0,0,0.0,646000,0,0,605000,605000,5138,193800,161500,565,18687,3572,0,2551,0,66343,4100000,97975,32202025,32300000,0.2785,0.4226,0.0182,0.0778,0.0096,0.8067,0.0021,0.0037,0.0016,0.0032,0.0106,0.018,0.002,0.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0187,0.0187,0.0002,0.006,0.005,0.0,0.0006,0.0001,0.0,0.0001,0.0,0.0021,0.1269,0.003,0.997,Canada
27,2010,7929127,14497030,785000,2722447,497500,26431104,68061,119107,51045.0,102091,340304,600000,70000,0,0,0,0,0.0,670000,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0.0,0,0.0,0.0,0.0,0.0194,0.0,0.0,0.0194,0.0194,0.0002,0.008,0.008,0.0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.999,Canada
28,1975,100339,15750,514,48000,0,164603,0,0,0.0,768,768,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,17208,171792,189000,0.5309,0.0833,0.0027,0.254,0.0,0.8709,0.0,0.0,0.0,0.0041,0.0041,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.091,0.909,Bahamas
29,1980,104580,21000,600,48000,0,174180,0,0,0.0,620,620,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,6940,24360,185640,210000,0.498,0.1,0.0029,0.2286,0.0,0.8294,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.033,0.116,0.884,Bahamas
30,1985,109000,28000,700,48000,0,185700,0,0,0.0,500,500,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,38300,193700,232000,0.4698,0.1207,0.003,0.2069,0.0,0.8004,0.0,0.0,0.0,0.0022,0.0022,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.1651,0.8349,Bahamas
31,1990,124600,35475,195,49400,0,209670,0,0,0.0,400,400,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,500,0,0,0,75,0,5225,39130,215870,255000,0.4886,0.1391,0.0008,0.1937,0.0,0.8222,0.0,0.0,0.0,0.0016,0.0016,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0003,0.0,0.0205,0.1535,0.8465,Bahamas
32,1995,148938,49688,200,54819,0,253645,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30355,253645,284000,0.5244,0.175,0.0007,0.193,0.0,0.8931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1069,0.8931,Bahamas
33,2000,207870,43050,0,46125,0,297045,0,0,0.0,300,300,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,1000,8917,146,307354,307500,0.676,0.14,0.0,0.15,0.0,0.966,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0033,0.029,0.0005,0.9995,Bahamas
34,2005,219700,45500,0,48750,0,313950,0,0,0.0,317,317,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,1056,9425,155,324845,325000,0.676,0.14,0.0,0.15,0.0,0.966,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.029,0.0005,0.9995,Bahamas
35,2010,211798,43863,0,46996,0,302657,0,0,0.0,305,305,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0.676,0.14,0.0,0.15,0.0,0.966,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.029,0.0005,0.9995,Bahamas
36,1945,185865,4387700,0,0,0,4573565,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944000,0,0,0,8517565,4930000,0.0377,0.89,0.0,0.0,0.0,0.9277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.7277,Cuba
37,1945,185865,4387700,0,0,0,4573565,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944000,0,0,0,8517565,4930000,0.0377,0.89,0.0,0.0,0.0,0.9277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.7277,Cuba
38,1950,220852,4964000,0,0,0,5184852,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686400,0,0,0,9871252,5858000,0.0377,0.8474,0.0,0.0,0.0,0.8851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6851,Cuba
39,1950,220852,4964000,0,0,0,5184852,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686400,0,0,0,9871252,5858000,0.0377,0.8474,0.0,0.0,0.0,0.8851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6851,Cuba
40,1955,242266,5462100,0,0,0,5704366,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140800,0,0,0,10845166,6426000,0.0377,0.85,0.0,0.0,0.0,0.8877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6877,Cuba
41,1955,242266,5462100,0,0,0,5704366,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140800,0,0,0,10845166,6426000,0.0377,0.85,0.0,0.0,0.0,0.8877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6877,Cuba
42,1960,265000,5924000,0,0,0,6189000,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623200,0,0,0,11812200,7029000,0.0377,0.8428,0.0,0.0,0.0,0.8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6805,Cuba
43,1960,265000,5924000,0,0,0,6189000,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623200,0,0,0,11812200,7029000,0.0377,0.8428,0.0,0.0,0.0,0.8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6805,Cuba
44,1965,265000,5960920,0,0,0,6225920,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920000,0,0,0,12145920,7400000,0.0358,0.8055,0.0,0.0,0.0,0.8413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6413,Cuba
45,1965,265000,5960920,0,0,0,6225920,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920000,0,0,0,12145920,7400000,0.0358,0.8055,0.0,0.0,0.0,0.8413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6413,Cuba
46,1970,238062,6119229,2000,12000,11009,6382300,0,0,0.0,1800,1800,0,0,0,0,0,0,0.0,0,0,0,5000,5000,0,3000,0,0,500,0,0,0,5982200,0,2100000,0,14474800,8546000,0.0279,0.716,0.0002,0.0014,0.0013,0.7468,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0,0.7,0.0,0.2457,0.0,1.6938,Cuba
47,1970,238062,6119229,2000,12000,11009,6382300,0,0,0.0,1800,1800,0,0,0,0,0,0,0.0,0,0,0,5000,5000,0,3000,0,0,500,0,0,0,5982200,0,2100000,0,14474800,8546000,0.0279,0.716,0.0002,0.0014,0.0013,0.7468,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0,0.7,0.0,0.2457,0.0,1.6938,Cuba
