,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop
67,2000,Antigua And Barbuda,901003703.703704,Latin America and the Caribbean,0.808,0.0,Christianity,56415
68,2005,Antigua And Barbuda,1143896296.2963,Latin America and the Caribbean,0.0,0.0,Christianity,67920
69,2010,Antigua And Barbuda,1298348148.14815,Latin America and the Caribbean,0.808,0.0,Christianity,79425
70,1990,Saint Kitts And Nevis,217259259.259259,Latin America and the Caribbean,0.79,0.0,Christianity,35517
71,1995,Saint Kitts And Nevis,313485185.185185,Latin America and the Caribbean,0.0,0.0,Christianity,36837
72,2000,Saint Kitts And Nevis,421695769.843918,Latin America and the Caribbean,0.79,0.0,Christianity,38155
73,2005,Saint Kitts And Nevis,547203703.703704,Latin America and the Caribbean,0.0,0.0,Christianity,41839
74,2010,Saint Kitts And Nevis,778718518.518518,Latin America and the Caribbean,0.79,0.0,Christianity,45525
75,1990,Mexico,261253675692.838,Latin America and the Caribbean,0.666,0.0,Christianity,80606800
76,1995,Mexico,380157469866.849,Latin America and the Caribbean,0.0,0.0,Christianity,87909596
77,2000,Mexico,742061329749.127,Latin America and the Caribbean,0.709,0.0,Christianity,95812392
78,2005,Mexico,917571853529.104,Latin America and the Caribbean,0.0,0.0,Christianity,97293942
79,2010,Mexico,1105424238731.09,Latin America and the Caribbean,0.747,0.0,Christianity,108811290
80,1990,Belize,546750912.28848,Latin America and the Caribbean,0.609,0.0,Christianity,163920
81,1995,Belize,818590250.0,Latin America and the Caribbean,0.0,0.0,Christianity,186321
82,2000,Belize,1138138100.0,Latin America and the Caribbean,0.657,0.0,Christianity,192222
83,2005,Belize,1474298400.0,Latin America and the Caribbean,0.0,0.0,Christianity,208096
84,2010,Belize,1748988400.0,Latin America and the Caribbean,0.72,0.0,Christianity,223972
85,1990,Guatemala,7650196845.21546,Latin America and the Caribbean,0.49,1.0,Christianity,8511300
86,1995,Guatemala,14655404433.2771,Latin America and the Caribbean,0.0,1.0,Christianity,9576225
87,2000,Guatemala,19288929030.0508,Latin America and the Caribbean,0.551,0.0,Christianity,11045250
88,2005,Guatemala,26783389293.922,Latin America and the Caribbean,0.0,0.0,Christianity,12065950
89,2010,Guatemala,40676578423.4871,Latin America and the Caribbean,0.613,0.0,Christianity,13133239
90,1990,Honduras,3734460116.73152,Latin America and the Caribbean,0.513,0.0,Christianity,4919650
91,1995,Honduras,4672346193.95203,Latin America and the Caribbean,0.0,0.0,Christianity,5624825
92,2000,Honduras,7186638029.05875,Latin America and the Caribbean,0.553,0.0,Christianity,6330000
93,2005,Honduras,9757012696.56212,Latin America and the Caribbean,0.0,0.0,Christianity,6587486
94,2010,Honduras,15839344591.9842,Latin America and the Caribbean,0.596,0.0,Christianity,7121814
95,1990,El Salvador,4817542204.0,Latin America and the Caribbean,0.519,1.0,Christianity,4865340
96,1995,El Salvador,8921947100.0,Latin America and the Caribbean,0.0,0.0,Christianity,5288450
97,2000,El Salvador,11784927700.0,Latin America and the Caribbean,0.609,0.0,Christianity,5711560
98,2005,El Salvador,14698000000.0,Latin America and the Caribbean,0.0,0.0,Christianity,5803034
99,2010,El Salvador,18447920000.0,Latin America and the Caribbean,0.657,0.0,Christianity,6209779
100,1990,Nicaragua,1009455483.87097,Latin America and the Caribbean,0.487,0.0,Christianity,3716900
101,1995,Nicaragua,4140470000.0,Latin America and the Caribbean,0.0,0.0,Christianity,4307600
102,2000,Nicaragua,5109587049.97449,Latin America and the Caribbean,0.563,0.0,Christianity,4898300
103,2005,Nicaragua,6321324279.14826,Latin America and the Caribbean,0.0,0.0,Christianity,4907725
104,2010,Nicaragua,8758602232.98358,Latin America and the Caribbean,0.611,0.0,Christianity,5242544
105,1990,Costa Rica,5711687786.75989,Latin America and the Caribbean,0.659,0.0,Christianity,2620600
106,1995,Costa Rica,11578594259.8675,Latin America and the Caribbean,0.0,0.0,Christianity,3097950
107,2000,Costa Rica,15013629661.8969,Latin America and the Caribbean,0.709,0.0,Christianity,3771380
108,2005,Costa Rica,20040642476.9817,Latin America and the Caribbean,0.0,0.0,Christianity,4057108
109,2010,Costa Rica,37658616951.8038,Latin America and the Caribbean,0.769,0.0,Christianity,3925741
110,1990,Panama,6433967000.0,Latin America and the Caribbean,0.672,0.0,Christianity,2292500
111,1995,Panama,9573813700.0,Latin America and the Caribbean,0.0,0.0,Christianity,2552070
112,2000,Panama,11966497048.6488,Latin America and the Caribbean,0.722,0.0,Christianity,2773500
113,2005,Panama,16623906739.3121,Latin America and the Caribbean,0.0,0.0,Christianity,3161160
114,2010,Panama,30231009532.9507,Latin America and the Caribbean,0.775,0.0,Christianity,4166894
115,1990,Colombia,47844090709.9908,Latin America and the Caribbean,0.614,1.0,Christianity,30980000
116,1995,Colombia,92507279383.0387,Latin America and the Caribbean,0.0,1.0,Christianity,33756907
117,2000,Colombia,99875074951.0278,Latin America and the Caribbean,0.672,1.0,Christianity,39996945
118,2005,Colombia,145600529605.803,Latin America and the Caribbean,0.0,1.0,Christianity,41606496
119,2010,Colombia,286498534094.963,Latin America and the Caribbean,0.732,1.0,Christianity,44910647
120,1990,Venezuela (Bolivarian Republic Of),48606952194.7752,Latin America and the Caribbean,0.657,0.0,Christianity,18614680
121,1995,Venezuela (Bolivarian Republic Of),77389487770.0883,Latin America and the Caribbean,0.0,0.0,Christianity,20231080
122,2000,Venezuela (Bolivarian Republic Of),117146466002.661,Latin America and the Caribbean,0.699,0.0,Christianity,22762053
123,2005,Venezuela (Bolivarian Republic Of),145513489651.872,Latin America and the Caribbean,0.0,0.0,Christianity,25077176
124,2010,Venezuela (Bolivarian Republic Of),393192354510.653,Latin America and the Caribbean,0.759,0.0,Christianity,27392300
125,1990,Guyana,396582263.291139,Latin America and the Caribbean,0.496,0.0,Christianity,303900
126,1995,Guyana,621626785.915493,Latin America and the Caribbean,0.0,0.0,Christianity,367200
127,2000,Guyana,712667896.727512,Latin America and the Caribbean,0.57,0.0,Christianity,430500
128,2005,Guyana,824880550.343965,Latin America and the Caribbean,0.0,0.0,Christianity,429477
129,2010,Guyana,3432912516.92427,Latin America and the Caribbean,0.65,0.0,Christianity,427919
130,1990,Suriname,388400000.0,Latin America and the Caribbean,0.696,0.0,Christianity,235351
131,1995,Suriname,691590497.737557,Latin America and the Caribbean,0.0,0.0,Christianity,225995
132,2000,Suriname,947671969.69697,Latin America and the Caribbean,0.696,0.0,Christianity,234934
133,2005,Suriname,1793410397.38738,Latin America and the Caribbean,0.0,0.0,Christianity,274703
134,2010,Suriname,4368370997.92126,Latin America and the Caribbean,0.696,0.0,Christianity,271680
135,1990,Ecuador,15239272611.5809,Latin America and the Caribbean,0.645,0.0,Christianity,9874700
136,1995,Ecuador,24432884442.2211,Latin America and the Caribbean,0.0,1.0,Christianity,8978500
137,2000,Ecuador,17539454727.3637,Latin America and the Caribbean,0.684,0.0,Christianity,11477020
138,2005,Ecuador,40278849000.0,Latin America and the Caribbean,0.0,0.0,Christianity,12136581
139,2010,Ecuador,68151329000.0,Latin America and the Caribbean,0.736,0.0,Christianity,12830327
140,1990,Peru,26410386962.8019,Latin America and the Caribbean,0.62,1.0,Christianity,21346550
141,1995,Peru,53312793687.3836,Latin America and the Caribbean,0.0,1.0,Christianity,23290887
142,2000,Peru,51744749133.213,Latin America and the Caribbean,0.675,0.0,Christianity,23532720
143,2005,Peru,76060606060.6061,Latin America and the Caribbean,0.0,0.0,Christianity,26698560
144,2010,Peru,147527631520.729,Latin America and the Caribbean,0.725,0.0,Christianity,27579681
145,1990,Brazil,390725626002.866,Latin America and the Caribbean,0.62,0.0,Christianity,138033011
146,1995,Brazil,769333330411.575,Latin America and the Caribbean,0.0,0.0,Christianity,151406004
147,2000,Brazil,655448188259.351,Latin America and the Caribbean,0.668,0.0,Christianity,146447175
148,2005,Brazil,891633826625.407,Latin America and the Caribbean,0.0,0.0,Christianity,157380092
149,2010,Brazil,2208838108484.35,Latin America and the Caribbean,0.722,0.0,Christianity,168313010
150,1990,Bolivia (Plurinational State Of),,Latin America and the Caribbean,0.546,0.0,Christianity,6272300
151,1995,Bolivia (Plurinational State Of),,Latin America and the Caribbean,0.0,0.0,Christianity,7300880
152,2000,Bolivia (Plurinational State Of),,Latin America and the Caribbean,0.625,0.0,Christianity,7842641
153,2005,Bolivia (Plurinational State Of),,Latin America and the Caribbean,0.0,0.0,Christianity,9033088
154,2010,Bolivia (Plurinational State Of),,Latin America and the Caribbean,0.661,0.0,Christianity,9720100
155,1990,Paraguay,5812114523.01187,Latin America and the Caribbean,0.604,0.0,Christianity,4142546
156,1995,Paraguay,9062131475.02318,Latin America and the Caribbean,0.0,0.0,Christianity,4624128
157,2000,Paraguay,8855705139.55857,Latin America and the Caribbean,0.656,0.0,Christianity,5329016
158,2005,Paraguay,10737500188.1123,Latin America and the Caribbean,0.0,0.0,Christianity,5367889
159,2010,Paraguay,27260886405.2341,Latin America and the Caribbean,0.7,0.0,Christianity,6138983
160,1990,Chile,33428580448.2715,Latin America and the Caribbean,0.705,0.0,Christianity,12353325
