,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop,prop_relig
649,1990,Iran (Islamic Republic Of),124813263926.225,Asia,0.613,1.0,Christianity,187999,0.0035269939731982303
650,1995,Iran (Islamic Republic Of),96419225743.6737,Asia,0.0,0.0,Christianity,221498,0.003345938294086885
651,2000,Iran (Islamic Republic Of),109591707802.216,Asia,0.692,1.0,Christianity,105000,0.001571774639850295
652,2005,Iran (Islamic Republic Of),224970371324.67,Asia,0.0,1.0,Christianity,109000,0.001581470390231446
653,2010,Iran (Islamic Republic Of),487069570463.768,Asia,0.756,1.0,Christianity,117000,0.0015927355142610815
654,1990,Turkey,150655500191.644,Asia,0.598,1.0,Christianity,400900,0.00717130778537494
655,1995,Turkey,234699627004.035,Asia,0.0,1.0,Christianity,419539,0.006826336679521929
656,2000,Turkey,274748463178.502,Asia,0.669,1.0,Christianity,334433,0.005058458989376363
657,2005,Turkey,508314210212.544,Asia,0.0,1.0,Christianity,300579,0.004209481633340886
658,2010,Turkey,782545664268.333,Asia,0.75,0.0,Christianity,320277,0.004212229381159077
659,1990,Iraq,180408064516.129,Asia,0.497,1.0,Christianity,398350,0.022436805485541257
660,1995,Iraq,12894029888.1122,Asia,0.0,1.0,Christianity,300395,0.0150246367631072
661,2000,Iraq,48364250943.9051,Asia,0.583,0.0,Christianity,433000,0.019337047415958646
662,2005,Iraq,50065104667.8159,Asia,0.0,1.0,Christianity,559260,0.02030456852791878
663,2010,Iraq,138516722649.573,Asia,0.629,1.0,Christianity,600000,0.019474196689386564
684,1990,Israel,62016729540.7093,Asia,0.781,1.0,Christianity,114699,0.024883942622812114
685,1995,Israel,105497418058.646,Asia,0.0,1.0,Christianity,159900,0.028954802259887006
686,2000,Israel,136512300542.025,Asia,0.835,1.0,Christianity,133399,0.02259353735303717
687,2005,Israel,147519922009.047,Asia,0.0,1.0,Christianity,145399,0.022214946208597642
688,2010,Israel,239679036634.372,Asia,0.887,1.0,Christianity,152400,0.021021562412453263
726,1990,Afghanistan,0.0,Asia,0.284,1.0,Christianity,7000,0.00045509603208921133
727,1995,Afghanistan,0.0,Asia,0.0,1.0,Christianity,6609,0.0003463215712906806
728,2000,Afghanistan,3521418059.92345,Asia,0.34,1.0,Christianity,6219,0.0002798842982883448
729,2005,Afghanistan,6203256538.70967,Asia,0.0,1.0,Christianity,24955,0.0009773160461509355
730,2010,Afghanistan,15856668555.8336,Asia,0.449,1.0,Christianity,7287,0.00027091448080840256
776,1990,India,320979026420.035,Asia,0.434,1.0,Christianity,41734851,0.05388502967681317
777,1995,India,360281909643.489,Asia,0.0,1.0,Christianity,45798549,0.05396281328053666
778,2000,India,468395521654.458,Asia,0.49,1.0,Christianity,24080014,0.0240395122777934
779,2005,India,820383763511.445,Asia,0.0,1.0,Christianity,26026922,0.0240395211096173
780,2010,India,1675615519484.96,Asia,0.572,1.0,Christianity,27973830,0.024039528691442515
786,1990,Pakistan,40010423970.4576,Asia,0.394,1.0,Christianity,3836000,0.034260553474061206
787,1995,Pakistan,60636071684.1918,Asia,0.0,1.0,Christianity,3391078,0.026237159213756887
788,2000,Pakistan,99484802344.5277,Asia,0.434,1.0,Christianity,2660210,0.017059834125961935
789,2005,Pakistan,145208562960.767,Asia,0.0,1.0,Christianity,2617319,0.01705983478680576
790,2010,Pakistan,196709621849.586,Asia,0.496,1.0,Christianity,2863590,0.01705983083363581
796,1990,Myanmar,2115193513.29556,Asia,0.333,1.0,Christianity,2488600,0.06859237617485736
797,1995,Myanmar,5289174942.53404,Asia,0.0,1.0,Christianity,3157420,0.08087796426530171
798,2000,Myanmar,8905066163.58643,Asia,0.407,1.0,Christianity,3210000,0.08026729358840362
799,2005,Myanmar,11986972418.5103,Asia,0.0,1.0,Christianity,4429920,0.09207961725781948
800,2010,Myanmar,49540813342.4834,Asia,0.506,1.0,Christianity,4565000,0.08940343311925014
801,1990,Sri Lanka,8032551173.24014,Asia,0.641,1.0,Christianity,1313600,0.0787835569312557
802,1995,Sri Lanka,13029697560.9756,Asia,0.0,1.0,Christianity,1448959,0.08103337987431809
803,2000,Sri Lanka,16595882818.6857,Asia,0.689,1.0,Christianity,1187918,0.07012893338749612
804,2005,Sri Lanka,24405791044.7761,Asia,0.0,1.0,Christianity,1573438,0.08094586774225594
805,2010,Sri Lanka,58636049434.1871,Asia,0.735,0.0,Christianity,1495578,0.07293808140762618
851,1990,Philippines,50508286641.5746,Asia,0.598,1.0,Christianity,56991959,0.9517127978794985
852,1995,Philippines,84644328727.4825,Asia,0.0,1.0,Christianity,63749979,0.943603194166692
853,2000,Philippines,83669788376.9213,Asia,0.635,1.0,Christianity,70508000,0.9446429681521289
854,2005,Philippines,107419977318.166,Asia,0.0,1.0,Christianity,76584168,0.9437810444610548
855,2010,Philippines,208368893151.144,Asia,0.673,1.0,Christianity,84493445,0.9418244941430469
