year,country,christianity,judaism,islam,buddhism,hindu,shinto,confus_tao,code,gdp,un_region,conflict_present,hdi,population,religious_population,religious_share
1995,Solomon Islands,358780,0,717,1228,0,0,0,SLB,469443201.503274,Oceania,0.0,,384733.0,360725.0,0.9375982824452282
2000,Solomon Islands,408480,0,1000,1500,0,0,0,SLB,419842674.227652,Oceania,0.0,0.49,440469.0,410980.0,0.9330509071012943
2005,Solomon Islands,447270,0,1094,1642,0,0,0,SLB,552881356.697517,Oceania,0.0,0.55,483080.0,450006.0,0.9315351494576468
2010,Solomon Islands,482878,0,1700,1750,0,0,0,SLB,898128551.289162,Oceania,0.0,0.55,532968.0,486328.0,0.9124900556881463
2000,Kiribati,97970,0,0,13,0,0,0,KIR,74910527.2586758,Oceania,0.0,0.55,88613.0,88613.0,1.0
2005,Kiribati,88320,0,0,24,0,0,0,KIR,113895437.324786,Oceania,0.0,0.59,98035.0,88344.0,0.9011475493446218
2010,Kiribati,98880,0,0,13,0,0,0,KIR,165458433.127645,Oceania,0.0,0.58,108704.0,98893.0,0.9097457315278187
2000,Tuvalu,10450,0,0,0,0,0,0,TUV,15073975.5349377,Oceania,0.0,0.6,9544.0,9544.0,1.0
2005,Tuvalu,9700,0,10,0,0,0,0,TUV,22909979.8163078,Oceania,0.0,0.62,9940.0,9710.0,0.9768611670020121
2010,Tuvalu,9764,0,10,0,0,0,0,TUV,32105408.4771121,Oceania,0.0,0.62,10614.0,9774.0,0.9208592425098926
1990,Fiji,415840,100,50600,0,243000,0,0,FJI,1337017559.49728,Oceania,0.0,0.63,773316.0,709540.0,0.9175291859989966
1995,Fiji,485735,104,47760,0,238800,0,0,FJI,1970301486.20561,Oceania,0.0,0.65,798746.0,772399.0,0.9670145452997574
2000,Fiji,449482,0,54323,0,264163,0,0,FJI,1678219507.89829,Oceania,0.0,0.67,840909.0,767968.0,0.913259341973983
2005,Fiji,448500,111,57750,0,247500,0,0,FJI,2980403844.72096,Oceania,0.0,0.68,882379.0,753861.0,0.8543505681798864
2010,Fiji,549963,0,51559,0,240609,0,0,FJI,3140166712.79624,Oceania,0.0,0.7,910419.0,842131.0,0.9249927780505459
2000,Tonga,89100,0,0,132,110,0,0,TON,204848487.806485,Oceania,0.0,0.68,102677.0,89342.0,0.8701267080261402
2005,Tonga,91044,0,0,123,103,0,0,TON,261823805.433238,Oceania,0.0,0.71,105671.0,91270.0,0.8637185225842473
2010,Tonga,98745,0,0,126,105,0,0,TON,366887374.989696,Oceania,0.0,0.71,107400.0,98976.0,0.9215642458100559
2000,Nauru,12870,0,0,0,0,0,0,NRU,26930980.3429002,Oceania,0.0,0.59,10168.0,10168.0,1.0
2005,Nauru,12610,0,0,200,0,0,190,NRU,30070666.0652533,Oceania,0.0,0.59,10049.0,10049.0,1.0
2010,Nauru,9638,0,0,0,0,0,0,NRU,47562844.6104251,Oceania,0.0,0.56,10043.0,9638.0,0.9596734043612466
1995,Marshall Islands,53240,0,0,0,0,0,0,MHL,120230000.0,Oceania,0.0,,48266.0,48266.0,1.0
2000,Marshall Islands,57400,0,0,0,0,0,0,MHL,114838500.0,Oceania,0.0,0.67,50706.0,50706.0,1.0
2005,Marshall Islands,51347,0,0,0,0,0,0,MHL,138000000.0,Oceania,0.0,,51906.0,51347.0,0.9892305321157477
2010,Marshall Islands,50971,0,0,0,0,0,0,MHL,161100000.0,Oceania,0.0,0.67,52044.0,50971.0,0.9793828299131504
1995,Palau,12470,0,340,170,20,0,0,PLW,121018500.0,Oceania,0.0,,17195.0,13000.0,0.7560337307356789
2000,Palau,15570,0,450,162,24,0,0,PLW,149551483.154297,Oceania,0.0,0.75,19178.0,16206.0,0.8450307644175618
2005,Palau,18100,0,500,150,0,0,0,PLW,190961685.180664,Oceania,0.0,0.76,19819.0,18750.0,0.9460618598314748
2010,Palau,18391,0,470,182,27,0,0,PLW,188042373.657227,Oceania,0.0,0.78,18396.0,18396.0,1.0
1990,Samoa,159500,0,37,15,0,0,0,WSM,125766269.755358,Oceania,0.0,0.66,169042.0,159552.0,0.9438601057725299
1995,Samoa,161677,0,43,16,0,0,0,WSM,224865731.381903,Oceania,0.0,0.66,174571.0,161736.0,0.9264769062444507
2000,Samoa,174600,0,50,18,0,0,0,WSM,258856139.798489,Oceania,0.0,0.67,181685.0,174668.0,0.961378209538487
2005,Samoa,177510,0,58,18,0,0,0,WSM,476801793.159429,Oceania,0.0,0.69,186978.0,177586.0,0.949769491597942
2010,Samoa,180140,0,61,19,0,0,0,WSM,680260907.153983,Oceania,0.0,0.7,193023.0,180220.0,0.9336711169135284
