ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
PRK;Democratic People's Republic of Korea;Asia;Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;SEARO;Low Income;Low Income;East Asia & Pacific
COD;Democratic Republic of the Congo;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
DNK;Denmark;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
DJI;Djibouti;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;EMRO;Lower Middle Income;Middle Income;Middle East & North Africa
DMA;Dominica;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
DOM;Dominican Republic;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
ECU;Ecuador;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
EGY;Egypt;Africa;Northern Africa;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;Lower Middle Income;Middle Income;Middle East & North Africa
SLV;El Salvador;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Lower Middle Income;Middle Income;Latin America & Caribbean
GNQ;Equatorial Guinea;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Upper Middle Income;Middle Income;Sub-Saharan Africa
ERI;Eritrea;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
EST;Estonia;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
ETH;Ethiopia;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
FJI;Fiji;Oceania;Melanesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
FIN;Finland;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
FRA;France;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
GAB;Gabon;Africa;Middle Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Upper Middle Income;Middle Income;Sub-Saharan Africa
GMB;Gambia;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
GEO;Georgia;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
DEU;Germany;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
GHA;Ghana;Africa;Western Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
GRC;Greece;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
GRD;Grenada;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
GTM;Guatemala;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Lower Middle Income;Middle Income;Latin America & Caribbean
GIN;Guinea;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
GNB;Guinea-Bissau;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
GUY;Guyana;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
HTI;Haiti;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Least Developed;LACRO;LAC;AMRO;Low Income;Low Income;Latin America & Caribbean
VAT;Holy See;Europe;Southern Europe;Not Classified;Not Classified;ECA;WE;Not Classified;Not Classified;Not Classified;Not Classified
HND;Honduras;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Lower Middle Income;Middle Income;Latin America & Caribbean
HUN;Hungary;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
ISL;Iceland;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
IND;India;Asia;Southern Asia;Central Asia and Southern Asia;Less Developed;ROSA;SA;SEARO;Lower Middle Income;Middle Income;South Asia
IDN;Indonesia;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;SEARO;Lower Middle Income;Middle Income;East Asia & Pacific
