ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
NRU;Nauru;Oceania;Micronesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
NPL;Nepal;Asia;Southern Asia;Central Asia and Southern Asia;Least Developed;ROSA;SA;SEARO;Low Income;Low Income;South Asia
NLD;Netherlands;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
NZL;New Zealand;Oceania;Australia/New Zealand;Australia and New Zealand;More Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
NIC;Nicaragua;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Lower Middle Income;Middle Income;Latin America & Caribbean
NER;Niger;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
NGA;Nigeria;Africa;Western Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
NIU;Niue;Oceania;Polynesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Not Classified;Not Classified;Not Classified
NOR;Norway;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
OMN;Oman;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;High Income;High Income;Middle East & North Africa
PAK;Pakistan;Asia;Southern Asia;Central Asia and Southern Asia;Less Developed;ROSA;SA;EMRO;Lower Middle Income;Middle Income;South Asia
PLW;Palau;Oceania;Micronesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
PAN;Panama;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
PNG;Papua New Guinea;Oceania;Melanesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
PRY;Paraguay;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
PER;Peru;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
PHL;Philippines;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
POL;Poland;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
PRT;Portugal;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
