hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,avg_growth_1990_2022
69.0,Belarus,,0.708,0.79,0.809,0.81,0.8,0.801,0.801,
70.0,Bulgaria,0.698,0.723,0.79,0.809,0.813,0.802,0.796,0.799,0.423211279634894
71.0,Palau,,0.747,0.775,0.782,0.792,0.794,0.802,0.797,
72.0,Mauritius,0.62,0.682,0.755,0.791,0.806,0.792,0.79,0.796,0.78393085992523
73.0,Grenada,,,0.779,0.786,0.79,0.786,0.788,0.793,
74.0,Albania,0.649,0.678,0.766,0.797,0.8,0.784,0.785,0.789,0.612284357225401
75.0,China,0.482,0.586,0.698,0.741,0.775,0.781,0.785,0.788,1.54796492850309
76.0,Armenia,0.658,0.656,0.739,0.769,0.789,0.769,0.774,0.786,0.557020186434398
77.0,Mexico,0.666,0.709,0.747,0.769,0.781,0.757,0.757,0.781,0.499008041460391
78.0,Iran (Islamic Republic of),0.613,0.692,0.756,0.782,0.785,0.779,0.776,0.78,0.755744516030998
78.0,Sri Lanka,0.641,0.689,0.735,0.76,0.775,0.777,0.783,0.78,0.615211143928418
80.0,Bosnia and Herzegovina,,0.656,0.718,0.757,0.78,0.776,0.776,0.779,
81.0,Saint Vincent and the Grenadines,,0.691,0.756,0.777,0.789,0.785,0.773,0.772,
82.0,Dominican Republic,0.579,0.646,0.707,0.739,0.765,0.76,0.756,0.766,0.878460049466656
83.0,Ecuador,0.645,0.684,0.736,0.764,0.758,0.734,0.746,0.765,0.53462880713695
85.0,Cuba,0.684,0.694,0.779,0.765,0.766,0.759,0.742,0.764,0.346253927302675
87.0,Maldives,,0.635,0.692,0.728,0.753,0.737,0.753,0.762,
87.0,Peru,0.62,0.675,0.725,0.758,0.774,0.758,0.755,0.762,0.646540726876577
89.0,Azerbaijan,,0.635,0.733,0.751,0.762,0.722,0.738,0.76,
89.0,Brazil,0.62,0.668,0.722,0.752,0.764,0.758,0.756,0.76,0.638275084155038
91.0,Colombia,0.614,0.672,0.732,0.758,0.768,0.756,0.752,0.758,0.660573656593111
92.0,Libya,0.724,0.746,0.774,0.749,0.756,0.737,0.746,0.746,0.0935881658506554
93.0,Algeria,0.593,0.652,0.721,0.736,0.742,0.73,0.74,0.745,0.715641749301277
94.0,Turkmenistan,,,0.699,0.725,0.732,0.731,0.74,0.744,
95.0,Guyana,0.496,0.57,0.65,0.686,0.711,0.727,0.721,0.742,1.26662116081466
96.0,Mongolia,0.579,0.595,0.7,0.739,0.749,0.74,0.73,0.741,0.773911041432895
97.0,Dominica,,0.721,0.735,0.719,0.745,0.738,0.737,0.74,
98.0,Tonga,0.64,0.679,0.709,0.723,0.74,0.742,0.738,0.739,0.450479574127938
99.0,Jordan,0.622,0.681,0.727,0.738,0.744,0.74,0.736,0.736,0.52729164598524
100.0,Ukraine,0.731,0.698,0.766,0.764,0.774,0.762,0.755,0.734,0.0127994717648017
101.0,Tunisia,0.566,0.651,0.713,0.724,0.74,0.734,0.729,0.732,0.806946011310883
102.0,Marshall Islands,,,,0.688,0.722,0.727,0.729,0.731,
102.0,Paraguay,0.604,0.656,0.7,0.738,0.746,0.742,0.73,0.731,0.598154535496853
104.0,Fiji,0.63,0.669,0.699,0.716,0.73,0.722,0.715,0.729,0.457147723478712
105.0,Egypt,0.567,0.629,0.667,0.695,0.724,0.729,0.726,0.728,0.784126244452876
106.0,Uzbekistan,,0.603,0.675,0.701,0.725,0.716,0.721,0.727,
107.0,Viet Nam,0.492,0.599,0.676,0.697,0.717,0.726,0.718,0.726,1.22326928419636
108.0,Saint Lucia,0.666,0.692,0.731,0.736,0.733,0.724,0.717,0.725,0.265608316510191
109.0,Lebanon,,,0.749,0.756,0.76,0.742,0.725,0.723,
110.0,South Africa,0.635,0.633,0.675,0.721,0.741,0.722,0.721,0.717,0.380255022203046
112.0,Indonesia,0.526,0.597,0.667,0.698,0.718,0.712,0.707,0.713,0.955095349584001
113.0,Philippines,0.598,0.635,0.673,0.696,0.714,0.705,0.692,0.71,0.537923566440601
114.0,Botswana,0.587,0.581,0.652,0.688,0.703,0.701,0.68,0.708,0.587403720119339
115.0,Jamaica,0.664,0.657,0.711,0.712,0.712,0.707,0.704,0.706,0.191849696545043
116.0,Samoa,,0.672,0.704,0.71,0.712,0.712,0.708,0.702,
117.0,Kyrgyzstan,0.637,0.617,0.661,0.689,0.699,0.691,0.696,0.701,0.299629969248816
118.0,Belize,0.609,0.657,0.72,0.714,0.718,0.705,0.698,0.7,0.436142304546183
119.0,Venezuela (Bolivarian Republic of),0.657,0.699,0.759,0.766,0.72,0.691,0.69,0.699,0.193833626688944
120.0,Bolivia (Plurinational State of),0.546,0.625,0.661,0.688,0.715,0.691,0.691,0.698,0.770453230728973
120.0,Morocco,0.448,0.525,0.604,0.656,0.684,0.683,0.688,0.698,1.39535124909336
122.0,Nauru,,,0.559,0.642,0.68,0.689,0.693,0.696,
123.0,Gabon,0.599,0.626,0.656,0.692,0.702,0.704,0.687,0.693,0.456565351384142
124.0,Suriname,,,0.696,0.707,0.71,0.702,0.689,0.69,
125.0,Bhutan,,,0.582,0.625,0.668,0.675,0.677,0.681,
126.0,Tajikistan,0.616,0.548,0.631,0.651,0.668,0.656,0.677,0.679,0.304757707529446
127.0,El Salvador,0.519,0.609,0.657,0.663,0.676,0.666,0.669,0.674,0.819988098268487
128.0,Iraq,0.497,0.583,0.629,0.656,0.678,0.661,0.667,0.673,0.951861985925784
129.0,Bangladesh,0.399,0.491,0.558,0.604,0.646,0.657,0.662,0.67,1.63292729842976
130.0,Nicaragua,0.487,0.563,0.611,0.644,0.661,0.652,0.665,0.669,0.99718892425058
131.0,Cabo Verde,,0.59,0.649,0.658,0.667,0.649,0.65,0.661,
